Model,Storage,Condition,Price
iPhone 15 Pro Max,256GB,Poor,R 115.50
iPhone 15 Pro Max,256GB,Good,"R 11,932.80"
iPhone 15 Pro Max,256GB,Mint,"R 12,720.40"
iPhone 15 Pro Max,256GB,Sealed,"R 15,871.90"
iPhone 15 Pro Max,512GB,,
iPhone 15 Pro Max,512GB,Poor,R 115.50
iPhone 15 Pro Max,512GB,Good,"R 12,482.80"
iPhone 15 Pro Max,512GB,Mint,"R 13,270.40"
iPhone 15 Pro Max,512GB,Sealed,"R 16,421.90"
iPhone 16,,,
iPhone 16,128GB,,
iPhone 16,128GB,Poor,"R 4,798.20"
iPhone 16,128GB,Good,"R 10,756.90"
iPhone 16,128GB,Mint,"R 11,466.40"
iPhone 16,128GB,Sealed,"R 14,304.40"
iPhone 16,256GB,,
iPhone 16,256GB,Poor,"R 5,898.20"
iPhone 16,256GB,Good,"R 11,856.90"
iPhone 16,256GB,Mint,"R 12,566.40"
iPhone 16,256GB,Sealed,"R 15,404.40"
iPhone 16,512GB,,
iPhone 16,512GB,Poor,"R 6,998.20"
iPhone 16,512GB,Good,"R 12,956.90"
iPhone 16,512GB,Mint,"R 13,666.40"
iPhone 16,512GB,Sealed,"R 16,504.40"
iPhone 16 Plus,,,
iPhone 16 Plus,128GB,,
iPhone 16 Plus,128GB,Poor,"R 6,468.00"
iPhone 16 Plus,128GB,Good,"R 11,746.90"
iPhone 16 Plus,128GB,Mint,"R 12,522.40"
iPhone 16 Plus,128GB,Sealed,"R 15,624.40"
iPhone 16 Plus,256GB,Sealed,"R 16,174.40"
iPhone 16 Plus,512GB,,
iPhone 16 Plus,512GB,Poor,"R 8,668.00"
iPhone 16 Plus,512GB,Good,"R 12,846.90"
iPhone 16 Plus,512GB,Mint,"R 13,622.40"
iPhone 16 Plus,512GB,Sealed,"R 16,724.40"
iPhone 16 Pro,,,
iPhone 16 Pro,1TB,,
iPhone 16 Pro,1TB,Poor,"R 9,900.00"
iPhone 16 Pro,1TB,Good,"R 14,449.60"
iPhone 16 Pro,1TB,Mint,"R 15,294.40"
iPhone 16 Pro,1TB,Sealed,"R 18,676.90"
iPhone 16 Pro,128GB,,
iPhone 16 Pro,128GB,Poor,"R 6,017.00"
iPhone 16 Pro,128GB,Good,"R 12,799.60"
iPhone 16 Pro,128GB,Mint,"R 13,644.40"
iPhone 16 Pro,128GB,Sealed,"R 17,026.90"
iPhone 16 Pro,256GB,,
iPhone 16 Pro,256GB,Poor,"R 7,150.00"
iPhone 16 Pro,256GB,Good,"R 13,349.60"
iPhone 16 Pro,256GB,Mint,"R 14,194.40"
iPhone 16 Pro,256GB,Sealed,"R 17,576.90"
iPhone 16 Pro,512GB,,
iPhone 16 Pro,512GB,Poor,"R 8,250.00"
iPhone 16 Pro,512GB,Good,"R 13,899.60"
iPhone 16 Pro,512GB,Mint,"R 14,744.40"
iPhone 16 Pro,512GB,Sealed,"R 18,126.90"
iPhone 16 Pro Max,,,
iPhone 16 Pro Max,1TB,,
iPhone 16 Pro Max,1TB,Poor,"R 6,738.60"
iPhone 16 Pro Max,1TB,Good,"R 15,446.20"
iPhone 16 Pro Max,1TB,Mint,"R 16,394.40"
iPhone 16 Pro Max,1TB,Sealed,"R 20,189.40"
iPhone 16 Pro Max,256GB,,
iPhone 16 Pro Max,256GB,Poor,"R 7,012.50"
iPhone 16 Pro Max,256GB,Good,"R 14,346.20"
iPhone 16 Pro Max,256GB,Mint,"R 15,294.40"
iPhone 16 Pro Max,256GB,Sealed,"R 19,089.40"
iPhone 16 Pro Max,512GB,,
iPhone 16 Pro Max,512GB,Poor,"R 5,638.60"
iPhone 16 Pro Max,512GB,Good,"R 14,896.20"
iPhone 16 Pro Max,512GB,Mint,"R 15,844.40"
iPhone 16 Pro Max,512GB,Sealed,"R 19,639.40"
iPhone 16e,,,
iPhone 16e,128GB,,
iPhone 16e,128GB,Dead,"R 2,789.60"
iPhone 16e,128GB,Poor,"R 3,994.10"
iPhone 16e,128GB,Good,"R 9,396.20"
iPhone 16e,128GB,Mint,"R 10,014.40"
iPhone 16e,128GB,Sealed,"R 12,489.40"
iPhone 16e,256GB,,
iPhone 16e,256GB,Dead,"R 3,834.60"
iPhone 16e,256GB,Poor,"R 5,039.10"
iPhone 16e,256GB,Good,"R 10,496.20"
iPhone 16e,256GB,Mint,"R 11,114.40"
iPhone 16e,256GB,Sealed,"R 13,039.40"
iPhone 16e,512GB,,
iPhone 16e,512GB,Dead,"R 4,879.60"
iPhone 16e,512GB,Poor,"R 6,084.10"
iPhone 16e,512GB,Good,"R 11,596.20"
iPhone 16e,512GB,Mint,"R 12,214.40"
iPhone 16e,512GB,Sealed,"R 13,589.40"
iPhone 17,,,
iPhone 17,256GB,,
iPhone 17,256GB,Good,"R 11,872.30"
iPhone 17,256GB,Mint,"R 12,655.50"
iPhone 17,256GB,Sealed,"R 15,790.50"
iPhone 17,512GB,,
iPhone 17,512GB,Good,"R 12,972.30"
iPhone 17,512GB,Mint,"R 13,755.50"
iPhone 17,512GB,Sealed,"R 16,890.50"
iPhone 17 Air,,,
iPhone 17 Air,1TB,,
iPhone 17 Air,1TB,Good,"R 13,590.50"
iPhone 17 Air,1TB,Mint,"R 14,415.50"
iPhone 17 Air,1TB,Sealed,"R 17,715.50"
iPhone 17 Air,256GB,,
iPhone 17 Air,256GB,Good,"R 12,490.50"
iPhone 17 Air,256GB,Mint,"R 13,315.50"
iPhone 17 Air,256GB,Sealed,"R 16,615.50"
iPhone 17 Air,512GB,,
iPhone 17 Air,512GB,Good,"R 13,040.50"
iPhone 17 Air,512GB,Mint,"R 13,865.50"
iPhone 17 Air,512GB,Sealed,"R 17,165.50"
iPhone 17 Pro,,,
iPhone 17 Pro,1TB,,
iPhone 17 Pro,1TB,Good,"R 19,639.40"
iPhone 17 Pro,1TB,Mint,"R 20,794.40"
iPhone 17 Pro,1TB,Sealed,"R 25,414.40"
iPhone 17 Pro,256GB,,
iPhone 17 Pro,256GB,Good,"R 17,439.40"
iPhone 17 Pro,256GB,Mint,"R 18,594.40"
iPhone 17 Pro,256GB,Sealed,"R 23,214.40"
iPhone 17 Pro,512GB,,
iPhone 17 Pro,512GB,Good,"R 18,539.40"
iPhone 17 Pro,512GB,Mint,"R 19,694.40"
iPhone 17 Pro,512GB,Sealed,"R 24,314.40"
iPhone 17 Pro Max,,,
iPhone 17 Pro Max,1TB,,
iPhone 17 Pro Max,1TB,Good,"R 19,949.60"
iPhone 17 Pro Max,1TB,Mint,"R 21,125.50"
iPhone 17 Pro Max,1TB,Sealed,"R 25,828.00"
iPhone 17 Pro Max,256GB,,
iPhone 17 Pro Max,256GB,Good,"R 17,749.60"
iPhone 17 Pro Max,256GB,Mint,"R 18,925.50"
iPhone 17 Pro Max,256GB,Sealed,"R 23,628.00"
iPhone 17 Pro Max,512GB,,
iPhone 17 Pro Max,512GB,Good,"R 18,849.60"
iPhone 17 Pro Max,512GB,Mint,"R 20,025.50"
iPhone 17 Pro Max,512GB,Sealed,"R 24,728.00"
iPhone SE (2020),,,
iPhone SE (2020),64GB,,
iPhone SE (2020),64GB,Dead,R 115.50
iPhone SE (2020),64GB,Poor,R 115.50
iPhone SE (2020),64GB,Good,"R 1,944.80"
iPhone SE (2020),64GB,Mint,"R 2,216.50"
iPhone SE (2020),64GB,Sealed,"R 2,492.60"
iPhone SE (2020),128GB,,
iPhone SE (2020),128GB,Dead,R 115.50
iPhone SE (2020),128GB,Poor,R 115.50
iPhone SE (2020),128GB,Good,"R 2,216.50"
iPhone SE (2020),128GB,Mint,"R 2,550.90"
iPhone SE (2020),128GB,Sealed,"R 2,748.90"
iPhone SE (2020),256GB,,
iPhone SE (2020),256GB,Dead,R 115.50
iPhone SE (2020),256GB,Poor,R 115.50
iPhone SE (2020),256GB,Good,"R 2,539.90"
iPhone SE (2020),256GB,Mint,"R 2,874.30"
iPhone SE (2020),256GB,Sealed,"R 3,052.50"
iPhone SE (2022),,,
iPhone SE (2022),64GB,,
iPhone SE (2022),64GB,Dead,R 115.50
iPhone SE (2022),64GB,Poor,R 115.50
iPhone SE (2022),64GB,Good,"R 2,121.90"
iPhone SE (2022),64GB,Mint,"R 2,425.50"
iPhone SE (2022),64GB,Sealed,"R 2,723.60"
iPhone SE (2022),128GB,,
iPhone SE (2022),128GB,Dead,R 115.50
iPhone SE (2022),128GB,Poor,R 115.50
iPhone SE (2022),128GB,Good,"R 2,644.40"
iPhone SE (2022),128GB,Mint,"R 3,010.70"
iPhone SE (2022),128GB,Sealed,"R 3,157.00"
iPhone SE (2022),256GB,,
iPhone SE (2022),256GB,Dead,R 115.50
iPhone SE (2022),256GB,Poor,R 115.50
iPhone SE (2022),256GB,Good,"R 3,157.00"
iPhone SE (2022),256GB,Mint,"R 3,480.40"
iPhone SE (2022),256GB,Sealed,"R 3,773.00"
iPhone X,,,
iPhone X,64GB,,
iPhone X,64GB,Dead,R 115.50
iPhone X,64GB,Poor,R 115.50
iPhone X,64GB,Good,"R 2,819.30"
iPhone X,64GB,Mint,"R 2,998.60"
iPhone X,64GB,Sealed,"R 3,720.20"
iPhone X,256GB,,
iPhone X,256GB,Dead,R 115.50
iPhone X,256GB,Poor,R 115.50
iPhone X,256GB,Good,"R 3,341.80"
iPhone X,256GB,Mint,"R 3,521.10"
iPhone X,256GB,Sealed,"R 4,242.70"
iPhone XR,,,
iPhone XR,64GB,,
iPhone XR,64GB,Dead,R 115.50
iPhone XR,64GB,Poor,R 115.50
iPhone XR,64GB,Good,"R 3,053.60"
